Gene,Half-life (h)
ybdK,0.073333333
yi81_2,0.053333333
entD,0.046666667
fepA,0.03
fes,0
entF,0.031666667
fepE,0.085
fepC,0.06
fepG,0.1
fepD,0
ybdA,0.095
fepB,0.046666667
entC,0.038333333
entE,0.038333333
entB,0.045
entA,0.046666667
ybdB,0.063333333
cstA,0.076666667
ybdH,0.083333333
ybdL,0.066666667
ybdM,0.108333333
ybdN,0.103333333
ybdO,0
dsbG,0.07
ahpC,0.301666667
ahpF,0.041666667
ybdQ,0.131666667
ybdR,0.118333333
B0609,0.073333333
rnk,0.06
rna,0.09
ybdS,0.068333333
citG,0.136666667
ybdU,0.118333333
citF,0.088333333
citE,0.126666667
citD,0.095
citC,0.116666667
citA,0.093333333
citB,0.088333333
dcuC,0.113333333
crcA,0.141666667
cspE,0.093333333
crcB,0.043333333
ybeH,0.063333333
ybeM,0.166666667
ybeC,0.103333333
lipA,0.096666667
ybeF,0.15
lipB,0.071666667
ybeD,0.058333333
dacA,0.055
rlpA,0.048333333
mrdB,0.081666667
mrdA,0.078333333
ybeA,0.07
ybeB,0.045
phpB,0.061666667
ybeN,0.04
holA,0.041666667
rlpB,0.043333333
leuS,0.035
ybeL,0.061666667
ybeQ,0.115
ybeR,0
ybeS,0.145
ybeU,0.128333333
ybeV,0.168333333
ybeW,0.116666667
ybeK,0.073333333
gltL,0.13
gltK,0.101666667
gltJ,0.118333333
trs5_3,0.245
ybeX,0.033333333
ybeY,0.066666667
yleA,0.093333333
yleB,0.078333333
B0663,0.105
B0667,0.038333333
B0669,0.086666667
B0671,0.07
asnB,0.053333333
nagD,0.065
nagC,0.04
nagA,0.103333333
nagB,0.171666667
nagE,0.153333333
glnS,0.04
ybfM,0
ybfN,0.081666667
fur,0.04
fldA,0.045
ybfE,0.073333333
ybfF,0.05
seqA,0.041666667
pgm,0.083333333
ybfP,0.1
ybfG,0.073333333
ybfH,0.101666667
potE,0.091666667
speF,0.131666667
kdpE,0.113333333
kdpD,0.1
kdpC,0.17
kdpB,0.126666667
kdpA,0.15
ybfA,0.106666667
B0701,0.103333333
ybfB,0.138333333
B0703,0.1
ybfC,0.105
ybfL,0.125
ybfD,0.088333333
ybgA,0.063333333
phrB,0.083333333
ybgH,0.235
ybgI,0.058333333
ybgJ,0.061666667
ybgK,0.05
ybgL,0.08
nei,0.06
abrB,0.103333333
ybgO,0.115
ybgP,0.108333333
ybgQ,0.136666667
ybgD,0.113333333
gltA,0.038333333
sdhC,0.096666667
sdhD,0.101666667
sdhA,0.078333333
sdhB,0.08
B0725,0.106666667
sucA,0
sucB,0.291666667
sucC,0
sucD,0
farR,0.068333333
hrsA,0.188333333
ybgG,0.146666667
cydA,0.061666667
cydB,0.065
ybgE,0.121666667
ybgC,0.041666667
tolQ,0.068333333
tolR,0.075
tolA,0.048333333
tolB,0.073333333
pal,0.101666667
ybgF,0.051666667
nadA,0.055
pnuC,0.05
ybgR,0.053333333
B0753,0.183333333
aroG,0.043333333
gpmA,0.048333333
galM,0.04
galK,0.078333333
galT,0.076666667
galE,0.075
modF,0.05
modE,0.1
modA,0.115
modB,0.156666667
modC,0.125
ybhA,0.108333333
ybhE,0.09
ybhD,0.168333333
ybhH,0.096666667
ybhC,0.106666667
ybhB,0.09
BioA,0.036666667
BioB,0.045
BioF,0.045
BioC,0.035
BioD,0.036666667
uvrB,0
ybhK,0
moaA,0.053333333
moaB,0.036666667
moaC,0.04
moaD,0.06
moaE,0.04
ybhL,0.083333333
ybhM,0
ybhN,0.091666667
ybhO,0.101666667
ybhP,0.088333333
ybhQ,0.081666667
ybhR,0.058333333
ybhS,0.071666667
ybhF,0.081666667
B0795,0.111666667
ybiH,0.096666667
rhlE,0.078333333
ybiA,0.106666667
dinG,0.088333333
ybiC,0.063333333
ybiJ,0.063333333
ybiI,0.05
B0805,0.116666667
ybiM,0.14
ybiN,0.105
ybiO,0
glnQ,0.09
glnP,0.073333333
glnH,0.095
dps,0.143333333
ybiF,0.085
ompX,0.113333333
ybiP,0.113333333
B0816,0.091666667
B0817,0.098333333
ybiR,0.113333333
ybiS,0.085
ybiT,0.085
ybiU,0
B0822,0.091666667
ybiW,0.126666667
ybiY,0.07
mipB,0.116666667
moeB,0.066666667
moeA,0.096666667
ybiK,0.038333333
B0829,0.046666667
B0830,0.07
B0831,0.076666667
B0832,0.078333333
B0833,0.09
B0834,0.49
yliG,0.098333333
B0836,0.133333333
yliI,0.081666667
yliJ,0.08
dacC,0
deoR,0.096666667
ybjG,0.136666667
cmr,0.105
ybjH,0.065
B0844,0.073333333
B0845,0.095
B0846,0.113333333
B0847,0.051666667
ybjM,0.091666667
grxA,0.075
ybjC,0.081666667
mdaA,0.076666667
rimK,0.073333333
ybjN,0.09
potF,0.07
potG,0.043333333
potH,0.06
potI,0.103333333
ybjO,0.086666667
ybjF,0.066666667
artJ,0.068333333
artM,0.063333333
artQ,0.073333333
artP,0.068333333
ybjP,0.065
B0866,0.076666667
B0867,0.073333333
B0868,0.061666667
ybjT,0.048333333
ybjU,0.04
poxB,0.065
B0872,0.136666667
ybjW,0.203333333
ybjE,0.093333333
aqpZ,0.143333333
ybjD,0.061666667
ybjX,0.076666667
B0878,0.075
ybjZ,0.073333333
cspD,0.256666667
yljA,0.071666667
clpA,0.103333333
infA,0.056666667
aat,0.086666667
cydC,0.068333333
cydD,0.125
trxB,0.065
ftsK,0.075
lolA,0.051666667
ycaJ,0
serS,0.043333333
dmsA,0
dmsB,0.098333333
dmsC,0.111666667
ycaC,0
ycaD,0.09
B0899,0.12
ycaN,0.106666667
ycaK,0.086666667
pflA,0.071666667
pflB,0.096666667
focA,0.1
ycaO,0.081666667
ycaP,0.051666667
serC,0.033333333
aroA,0.031666667
ycaL,0.061666667
cmk,0.078333333
rpsA,0.07
msbA,0.05
ycaH,0.066666667
ycaQ,0.08
ycaR,0.088333333
kdsB,0.066666667
B0919,0.088333333
ycbC,0.118333333
smtA,0.07
mukF,0.128333333
mukE,0.05
mukB,0.046666667
ycbB,0.07
ycbK,0.026666667
ycbL,0
aspC,0.071666667
ompF,0.141666667
asnS,0.028333333
pncB,0.05
pepN,0.035
ycbE,0.095
ycbM,0.113333333
ycbN,0.163333333
ycbO,0.081666667
ycbP,0.1
ycbR,0.128333333
ycbS,0.141666667
B0941,0.123333333
B0942,0.13
B0943,0.125
ycbF,0
pyrD,0.078333333
ycbW,0.071666667
B0947,0.048333333
ycbY,0.061666667
uup,0.055
pqiA,0.081666667
pqiB,0.101666667
ymbA,0.09
rmf,0
fabA,0.056666667
ycbG,0.095
ompA,0.22
sulA,0.073333333
B0959,0.108333333
B0960,0.06
yccF,0.091666667
helD,0.08
mgsA,0.065
B0964,0.101666667
B0965,0.151666667
yccV,0.111666667
B0967,0.076666667
B0968,0.066666667
yccK,0.116666667
yccA,0.043333333
hyaA,0.096666667
hyaB,0.098333333
hyaC,0.108333333
hyaD,0.215
hyaE,0.096666667
hyaF,0.073333333
appC,0.121666667
appB,0.066666667
appA,0
yccC,0.106666667
yccY,0.111666667
yccZ,0.141666667
ymcA,0.101666667
ymcB,0.091666667
ymcC,0.111666667
ymcD,0.085
insB_4,0.166666667
cspH,0.083333333
cspG,0.078333333
yccM,0.148333333
torS,0.115
torT,0
torR,0.115
torC,0
torA,0.105
torD,0.125
yccD,0.055
cbpA,0.045
yccE,0.1
agp,0.305
yccJ,0.23
wrbA,0.138333333
ycdF,0
ycdG,0.125
B1007,0.1
B1008,0.111666667
B1009,0.185
B1010,0.101666667
B1011,0.118333333
B1012,0.163333333
ycdC,0.096666667
putA,0.135
putP,0.068333333
B1016,0.063333333
B1017,0.056666667
ycdO,0.033333333
phoH,0.21
ycdP,0.066666667
ycdQ,0.1
ycdR,0.166666667
ycdS,0.066666667
ycdT,0.08
tra5_3,0
B1027,0.08
B1028,0.101666667
ycdU,0.086666667
ycdW,0.056666667
ycdX,0.056666667
ycdY,0.056666667
ycdZ,0.093333333
csgG,0.058333333
csgF,0.056666667
csgE,0.075
csgD,0.078333333
csgB,0
csgA,0
csgC,0.115
B1044,0.081666667
B1045,0.053333333
ymdC,0.05
ymdD,0.063333333
mdoG,0.035
