Gene,Half-life (h)
gyrB,3.859988298
osmF,3.013963699
yafC,2.997744765
rseP,1.818864804
dnaB,5.111010387
valS,24.01006043
nlpA,3.419955099
parC,61.13818502
hscA,0.910589315
ydfZ,4.084949523
ugpQ,22.10052988
uvrC,9.37686916
pyrH,3.706722488
gor,7.690812769
dppF,1.439993909
argP,4.534651682
yfhM,2.38910336
ydaM,0.225768039
atpA,3.110499548
iscA,0.21499162
clpX,1.272596851
aspS,5.421514988
tsaD,4.410015227
accA,13.21362098
deoB,4.461275544
hisS,12.15913651
infB,4.449049121
gyrA,2.627109931
hemB,6.895641592
rlmN,0.532891833
arcB,2.432243523
mfd,8.833535335
yhjE,3.047479515
ygcE,16.43249439
mlaD,25.82505669
rpoD,1.23409539
rsxG,3.40904833
mipA,2.011480866
emrA,3.821272087
hupA,5.026980654
ybeZ,3.999854585
dnaA,4.665428697
rpoB,3.372734816
yadG,3.324379364
mpl,2.373713218
grxD,1.943210112
ydbC,12.59725261
glnS,4.088586892
hisJ,16.67842432
atpD,6.451871629
ycgM,5.115141039
fusA,4.862639801
tktB,2.752832336
macB,0.01
ispG,6.263260979
ftsK,1.333451709
gstA,3.389656346
fliY,1.882869546
rsmH,29.43038853
secD,3.069586297
yfdC,1.83803184
mnmG,0.966339235
poxB,2.125473623
yghU,3.124723047
rpsL,2.209136024
hupB,6.793601973
ydjY,0.766231486
sufS,#VALUE!
lolE,7.477214177
dcp,3.766868716
frsA,5.014683492
yieP,0.775280599
bfr,0.123791536
rho,12.11694171
relB,0.527097691
yecC,4.071082398
aroK,9.309887446
thiB,1.726686717
sodB,0.204127631
fabZ,5.366606454
serS,13.74404916
rpoS,0.095766191
rpsB,2.409339396
flu,564.8472473
relA,2.596297017
yeiR,3.333372724
atpG,4.536050993
fkpA,7.312179862
nfsB,10.71428798
murF,9.157311823
gpsA,8.487313411
ffh,77.8967285
fiu,22.73677961
rsfS,3.629551849
rpoZ,1.610948325
rplB,3.086248035
parE,2.065339788
btuE,2.128641867
kch,18.89555641
rpsD,3.050327129
yggU,3.961624611
secA,11.66995568
engB,2.836304456
prc,21.34658014
rpoC,3.379549149
csrA,6.41595044
atpC,2.567921966
ycbB,2.574655451
ompR,5.713038412
lon,9.796496095
patA,0.114910165
gltL,2.349495543
grxC,6.851733932
entC,3.132707612
yidC,4.023654721
rhlE,1.553332987
rplD,5.087160583
ftsH,12.62665069
ychF,8.706728042
rplE,4.766744212
rpsC,2.710708249
rplM,16.88533877
yajC,4.796318788
rplR,2.103397891
map,7.027960132
ftsZ,1.386493324
cpxR,6.839943651
greA,6.764970474
fbaB,3.37994523
smpB,6.830966343
htpG,72.15088912
rpsE,2.639179706
rpsI,2.651761279
rpsK,2.71779888
rpsM,2.311998748
degQ,4.834119727
tsf,2.568992125
era,1.888989695
ompF,1.545834583
atpF,3.536507977
acrB,4.239598218
ydhQ,0.674392551
rne,9.784711677
lepB,4.105595698
entE,9.55249118
talA,2.379300549
nusG,10.34266383
rlmE,3.155951923
rpsA,3.016976636
sufA,2.547513212
clpA,0.236152408
secY,2.623667864
yibN,13.44214507
clpB,18.7339593
rplP,4.036241996
infC,9.617130627
rlmM,26.07227811
yjjA,2.209140522
rplN,2.306956626
rplK,2.095758141
speD,2.254518265
sodA,2.138306314
rplF,2.624201158
ygdG,3.465196023
rpsH,2.868601029
rplJ,3.387290837
