Gene,Half-life (h)
POLA1;POLA,16.6
ZNF622;ZPR9,16.6
ANKRD17;GTAR;KIAA0697,16.6
SPAG7,16.6
PRKAR1A;PKR1;PRKAR1;TSE1,16.6
FOXP1;HSPC215,16.7
TYMS;TS;OK/SW-cl.29;hCG_1994842,16.7
MSLN;MPF,16.7
CHMP1A;CHMP1;KIAA0047;PCOLN3;PRSM1,16.8
CD81;TAPA1;TSPAN28,16.8
PRKAA1;AMPK1,16.8
YAP2;YAP1;hCG_41478;YAP65,16.8
ATP6AP2;ATP6IP2;CAPER;ELDF10;HT028;MSTP009;PSEC0072,16.8
DNMT1;AIM;CXXC9;DNMT,16.8
TSPYL1;TSPYL,16.8
QSOX2;QSCN6L1;SOXN;RP11-83N9.4-002,16.8
MTR;DKFZp686A22123,16.8
TGFBI;BIGH3;hCG_41400,16.8
STK38;NDR1,16.9
C12orf23,16.9
SMPD1;ASM,16.9
BTBD14B;NAC1,16.9
CDH2;CDHN;NCAD,16.9
FAM168A;KIAA0280;TCRP1,16.9
ATP6V1F;ATP6S14;VATF,16.9
IVNS1ABP;ARA3;FLARA3;KIAA0850;NS1;NS1BP;HSPC068,17
GOLPH3L;GPP34R,17
WDR54,17
HLA-A;HLAA,17
SC4MOL;DESP4;ERG25,17
PPP1CC,17
NDUFS1,17
JMJD1B;C5orf7;JHDM2B;KIAA1082,17
CSTF2T;KIAA0689,17.1
C10orf119,17.1
GOLGA2,17.1
TP53BP2;ASPP2;BBP,17.1
SUMO1;SMT3C;SMT3H3;UBL1;OK/SW-cl.43;LOC391257;SUMO1P3,17.1
NOB1;ART4;NOB1P;PSMD8BP1;MSTP158,17.1
UBE2R2;CDC34B;UBC3B,17.2
OTUD7B;ZA20D1,17.2
CGI-96,17.2
CDK4,17.2
RFK,17.3
SNAP29,17.3
MEIS1;MEIS3;MRG2;MEIS2,17.3
MOBKL1B;C2orf6;MOB4B;MOBK1B;MOBKL1A;MOB4A,17.4
NPR3;ANPRC,17.4
RBMX2;CGI-79;RP1-20I3.2-003,17.4
UBL7;BMSCUBP;SB132,17.4
ZNF828;C13orf8;KIAA1802,17.4
CDC45L;CDC45L2;UNQ374/PRO710,17.4
SPATS2;SCR59;SPATA10;Nbla00526,17.5
TRABD;PP2447,17.5
DHX8;DDX8,17.5
FLYWCH2,17.5
KANK1;ANKRD15;KANK;KIAA0172;RP11-130C19.4-005;hKank-L,17.5
BAIAP2,17.6
POLR2C;A-152E5.7,17.6
SEC61B,17.6
SMARCAD1;KIAA1122,17.6
OGT,17.6
PPP4R2;SBBI57,17.6
MYO10;KIAA0799,17.6
MRPS35;MRPS28;HDCMD11P;MDS023;PSEC0213,17.6
SMAD2;MADH2;MADR2;SMAD3;MADH3,17.6
RRM2;RR2,17.6
FAM107B;RP11-153L18.1-010;C10orf45,17.6
POLE;POLE1;hCG_2007366,17.6
UTP18;WDR50;CDABP0061;CGI-48,17.6
SLC4A7;BT;NBC2;NBC2B;NBC3;SBC2;SLC4A6,17.7
MTERFD1;CGI-12,17.7
TRIP12;KIAA0045,17.7
WDR42A;H326,17.7
KPNA7,17.8
HERC4;KIAA1593,17.8
ARFGAP3;ARFGAP1,17.8
NPR1;ANPRA,17.8
MFN2;CPRP1;KIAA0214,17.8
POLD2,17.8
ANKLE2;KIAA0692,17.9
MPP5,17.9
TTC4;My044;RP5-1043G4.2-002;hCG_32473,17.9
MLH1;COCA2,17.9
GLTPD1;DKFZp434L0435,18
DTL;CDT2;CDW1;DCAF2;L2DTL;RAMP,18
FASTKD2;KIAA0971,18
AD-001;HSPC152;HSPC170,18
NME7,18
CLN3;BTS,18
RIF1,18
VAMP8,18
ITFG3;C16orf9,18
MIER1;KIAA1610;GPR177;C1orf139;WLS;UNQ85/PRO18667;RP11-518D3.2-002;hCG_1811272;RP11-518D3.2-005,18.1
GATAD2A,18.1
STAT6,18.1
FPGS;RP11-228B15.1-017;RP11-228B15.1-020;RP11-228B15.1-001,18.1
TOM1L1;SRCASM;hCG_32771,18.2
CHMP5;C9orf83;SNF7DC2;CGI-34;HSPC177;PNAS-2;PNAS-114,18.2
PIK4CB;RP11-126K1.4-003;hCG_1811976;PI4KB;RP11-126K1.4-008,18.2
DHX40;DDX40;ARG147,18.2
NDUFB6;RP11-205M20.6-002;hCG_30272,18.2
NCOR1;KIAA1047,18.2
DSP,18.2
EHD2;PAST2,18.2
LRP1;A2MR;APR,18.2
ANKH;KIAA1581;UNQ241/PRO274,18.2
NUCB1;NUC,18.3
KIAA0391,18.3
MOSC1,18.3
CCDC97,18.3
GNB2,18.3
EDRF1;C10orf137;RP11-383C5.6;RP11-383C5.6-006,18.3
TMEM161A;UNQ582/PRO1152,18.3
EPHA2;ECK,18.3
GSE1;KIAA0182,18.3
NDC80;HEC;HEC1;KNTC2,18.4
TRIP11;CEV14,18.4
TNS3;TEM6;TENS1;TPP;DKFZp434I2435,18.4
SLC39A14;KIAA0062;ZIP14,18.4
AKAP1;AKAP149;PRKA1,18.4
TMEM87A;PSEC0094,18.4
PMS1;PMSL1,18.4
QRICH1,18.4
PARP14;BAL2;KIAA1268,18.4
NCAPG2;LUZP5;FLJ20311,18.4
ELOVL5;ELOVL2;PRO0530,18.4
HN1;ARM2,18.5
INTS10;C8orf35,18.5
POLDIP3;KIAA1649;PDIP46,18.5
IFRD1,18.5
TRIM14;KIAA0129,18.5
ATP6V1E1;ATP6E;ATP6E2,18.5
PPIL2,18.5
