Protein,mRNA
154.63,NA
91.68,18.18
28.31,6.5
13.77,11.47
33.65,8.47
57.57,12.2
15.38,6.28
6.94,6.16
12.95,5.24
108.16,3.02
25.88,5.24
42.6,4.47
52.03,8.79
38.78,12.69
121.44,11.49
31.53,11.69
15.84,11.14
9.74,8.29
27.8,7.51
62.8,13.03
22.96,NA
77.22,11.28
10.47,5.14
38.66,6.41
23.53,8.17
58.43,8.96
59.13,7.81
15.7,12.46
36.05,6.65
332.09,17.23
32.56,12.68
49.23,4.5
26.63,5.3
43.42,6.03
34.01,6.93
62.05,7.43
58.02,NA
63.06,11.11
28.79,8.92
41.02,3.35
539.97,9.73
45.65,12.35
51.37,11.23
105.83,20.75
35.76,8.89
56.91,5.9
74.44,13.45
91.83,8.24
15.33,9.52
36.85,6.91
53.31,11.17
14.42,2.9
21.07,3.51
51.94,16.51
23,4.37
25.97,3.72
8.22,4.07
48.58,12.58
10.7,10.04
70.07,3.73
159.21,10.61
130.43,12.02
87.21,NA
176.35,7.33
40.79,10.71
173.44,3.1
46.68,6.19
51.43,6.93
7.71,5.88
8.29,12.42
11.04,3.89
50.28,12.38
81.6,8.44
107.43,11.56
7.92,23.74
5.81,6.4
82.29,5.91
33.69,8.67
12.92,3.13
6.41,7.57
75.77,11.93
110.42,3.64
151.52,9.33
43.93,6.23
31.7,9.14
134.67,7.93
40.17,11.94
19.96,18.89
34.47,9.94
26.86,9.55
14.44,15.01
35.06,9.35
237.88,18.57
117.78,8.19
35.12,3.49
1701.95,11.44
23.3,6.26
16.73,4.66
463.27,8.89
20.82,5.5
20.48,4.41
53.71,7.66
57.8,NA
44.63,12.51
68.53,14.2
4.59,3.69
169.25,8.97
65.78,5.03
134.39,4.62
28.47,10.64
89.37,4.44
25.3,3.12
24.04,8.93
30.06,7.71
47.97,NA
34.95,20.69
18.53,9.2
23.73,NA
28.41,7.74
24.54,4.91
33.94,6.52
20.61,13.03
93.33,6.49
113.47,12.95
4.46,5.65
20.58,5.98
53.44,2.99
5.33,16.71
35.67,10.43
22.95,6.7
21.57,4.27
52.07,8.37
66.5,9.44
22.56,23.06
4.62,2.97
4.85,12.81
17.74,5.3
51.42,9.18
43.76,6.67
125.8,NA
28.26,12.22
30.32,4.87
60.93,9.83
5.14,8.05
71.77,7.4
64.84,9.28
60.51,NA
242.94,15.32
21.74,3.9
36.46,4.62
11.1,8.47
57.61,NA
63.29,6.47
29.96,6.93
34.36,12.83
18.84,18.11
72.11,7.42
49.5,10.38
80.23,7.75
79.73,13.02
52.12,7.93
64.32,10.7
83.22,13.53
71.89,6.24
99.1,13.9
57.26,9.61
32.14,21.5
16.02,NA
18.49,4.45
69.27,5.98
77.81,4.56
27.56,7.86
19.44,11.17
114.35,11.34
24.14,10.15
31.96,4.33
74.59,10.2
16.66,9.86
49.77,13.04
30.52,10.98
82.24,13.43
14.64,14.77
26.06,5.79
75.3,11.64
65.17,6.17
7.07,10.73
9.44,5.64
108.8,6.65
157.59,14.22
7.93,12.79
19.97,11
52.03,11.84
0.8,3.13
41.54,10.87
70.43,9.72
121.92,10.29
41.82,12.81
46.77,8.17
113.28,7.87
25.64,4.16
22.23,24.16
120.88,4.15
26.91,7.44
10.09,14.5
83.77,5.48
16.81,8.19
53.51,20.34
385.37,6.64
5.27,11.62
43.43,4.88
13.47,5.49
62.51,10.13
12.49,5.61
99.52,24.66
158.32,2.73
14.56,5.2
47.68,10.46
33.54,6.17
38.1,10.48
21.31,10.88
8.65,15.76
54.53,7.28
77.35,8.32
61.58,7.98
27.61,5.48
37.44,8.45
13.31,5.9
71.58,6.83
47.92,NA
96.09,6.28
73.67,10.73
22.81,13.83
29.93,9.18
43.52,7.35
18.78,7.54
11.75,8.58
82.44,9.52
69.05,7.97
244.28,NA
22.38,12.64
142.15,7.92
6.61,11.49
26.33,9.29
40.62,8.93
62.8,8.84
22,NA
22.91,8.62
212.94,8.89
65.04,9.51
15.82,7.46
15.2,10.32
8.24,7.86
34.96,6.38
25,5.21
77.68,NA
25.94,7.3
20.8,NA
23.51,9.33
28.02,NA
39.89,13.34
148.8,4.52
23.64,9.3
30.15,NA
18.2,3.82
78.93,6.9
10.47,6.63
41.58,5.09
38.39,4.82
84.15,6.42
169.44,14.96
616.03,7.17
35.39,5.93
15.51,9.13
33.29,9.8
186.16,10.06
22.1,12.1
6,8
16.02,8.15
37.93,9.44
20.91,10.43
15.98,5.54
200.14,4.91
172.67,8.72
19.72,8.27
80.31,14.28
151.15,7.88
36.11,7.77
114.66,NA
7.33,8.79
36.35,NA
50.46,11.88
61.86,4.52
41.85,23.79
66.14,9.81
25.74,7.24
14.49,16.66
88.38,11.41
31.17,12.05
137.6,7.65
7.62,12.74
51.93,10.68
7.07,8.84
95.2,7.72
8.77,5.64
7.3,10.26
79.28,4.94
45.84,7.81
48.01,NA
30.66,10.76
41.59,7.65
6,5.65
77.93,5.33
15.56,7.72
19.97,2.64
30.64,5.43
15.3,9.81
31.59,15.24
43.76,13.7
31.88,5.05
14.25,8.62
43.45,5.89
29.75,9.06
27.38,3.32
67.57,13.63
45.98,7.25
30.48,17
11.32,10.6
22.12,12.75
48.27,10.32
52.61,6.37
94.21,16.52
30.19,11.7
16.36,9.73
48.03,10.01
9.24,NA
329.36,11.24
50.73,8.41
54.94,7.97
41.02,11.01
50.73,8.53
13.74,8.48
46.47,8.39
785.94,4.73
19.52,11.12
49.05,NA
21.5,4.47
7.12,NA
119.85,4.74
60.55,7.21
20.28,5.47
90.12,NA
20.99,11.4
40.33,6.8
18.7,5.8
1.05,NA
157.15,5.87
43.65,9.82
13.97,3.33
17.45,NA
20.52,16.58
130.76,18.69
16.69,7.36
29.72,9.19
71.41,NA
51.8,13.77
16.51,9.67
7.59,8.28
7.36,3.22
117.62,5.99
9.42,6.51
53.29,NA
24.79,8.49
10.15,3.59
16.75,9.83
175.23,NA
9.38,NA
33.84,12.22
119.43,4.83
18.25,9.58
58.65,NA
11.87,9.94
13.22,13.09
107.29,3.53
38.18,8.91
149.02,6.11
37.12,6.46
63.94,12.29
6.48,23.4
40.98,10.08
89.55,7.01
19.98,22.53
23.91,21.08
114.84,14.92
91.49,9.14
35.06,20.37
50.39,5.56
23.52,4.33
66.18,7.91
22.74,11.78
23.68,5.36
28.44,12.69
5.36,5.17
34.38,7.26
49.32,6.6
1.02,13.56
245.34,39.78
14.32,3.8
58.13,16.72
47.32,9.11
131.77,7.51
19.45,10.45
21.79,5.63
18.01,4.08
35.8,3.72
27.05,8.7
10.85,14.82
41.15,14.58
13.19,5.52
5.11,5.14
67.41,9.79
5.22,NA
50.65,3.48
30.8,6.19
38.91,12.78
14.68,12.34
24.78,9.52
7.48,5.21
121.96,17.59
24.67,7.37
27.77,8.17
19.26,11.61
46.17,7.49
4.35,3.03
102.23,8.55
4.78,7.29
22.82,5.41
10.46,4.75
36.32,5.22
169.6,6.04
32.21,15.38
26.6,3.29
16.07,10.87
28.26,5.48
48.97,8
30.97,10.46
22.6,14.5
15.96,7.7
17.54,15.04
5.83,12.7
64.39,5.45
67.47,NA
11.13,11.31
23.27,5.79
217.6,8.33
17.49,6.45
18.25,14.92
16.79,13.54
15.07,9.27
47.9,17.77
33.29,4.53
51.29,11.83
14.95,23.72
15.01,12.33
10.55,10.94
71.75,16.37
55.42,11.04
37.82,17.43
12.71,8.32
18.99,6.08
16.14,4.77
66.94,8
119.69,5.91
69.65,12.3
55.15,9.35
51.11,8.23
30.27,11.16
35.36,18.27
165.79,4.22
97.23,11.59
18.79,6.81
63.92,8.42
11.39,7.36
25.24,3.4
22.57,6.09
46.02,2.6
53.97,NA
53.26,4.39
23.38,6.76
83.93,7.61
132.94,11.85
22.63,3.35
31.78,8.2
44.36,11.29
20.4,3.7
41.73,17.14
2.79,39.09
5.74,2.57
14.39,5.99
17.12,13
60.59,11.07
39.25,6.99
59.06,10.07
42.2,NA
47.44,13.44
6.39,4.59
281.72,13.19
21.01,9.1
36.71,11.44
80.51,NA
13.41,19.31
61.77,9.47
24.24,8.97
22.26,6.65
347.68,18.29
389.28,4.02
30.36,5.37
55.29,19.74
49.43,NA
46.95,6.34
101.73,5.42
56.32,9.37
9.01,13.11
84.78,4.05
44.07,4.38
46.5,15.83
48.91,22.72
37.82,12.13
48.7,9.5
104.55,8.56
26.62,6.14
14.54,10.06
6.21,8.52
59.39,4.06
21.88,14.93
7.18,21.06
26.23,11.6
4.95,11.04
31.25,7.51
60.78,NA
59.16,8.32
13.33,7.9
13.54,17.1
32.5,6.05
51.13,6.21
3.66,15.22
91.52,5.87
28.15,8.84
18.97,8.81
19.02,7.86
74.3,12.5
16.76,6.09
10.65,7.97
25.34,6.77
10.38,4.8
11.54,19.54
4.07,5.62
29.57,NA
8.8,8.06
14.22,4.21
39.82,8.32
100.75,10.32
15,11.6
45.97,14.12
24.2,4.73
26.98,17.31
54.93,20.72
23.72,8.47
51.01,11.09
16.72,9.34
26.92,5.98
106.19,6.27
40.79,11.96
50.91,9.67
16.07,4.84
8.88,11.5
17.4,6.98
57.13,11.19
6.29,17.95
47.15,NA
68.79,4.26
51.43,20.08
10.42,11.2
115.69,7.71
54.16,4.95
32.87,5.66
62.64,7.99
49.03,6.8
45.36,6.81
29.38,11.41
10.55,14.76
17.15,7.51
161.79,5.36
44.74,3.97
70.3,9.33
26.77,10.04
66.95,8.44
34.29,7.1
28.91,6.03
60,8.98
13.19,6.16
17.67,7.32
42.41,6.97
2582.8,NA
13.86,NA
29.72,9.58
23.53,16.66
9.9,11.91
26.76,6.37
10.68,13.18
11.69,5.53
81.63,15.32
71.97,4.97
7.27,6.55
86.31,7.97
38.87,4.37
87.74,NA
96.21,9.73
35.94,6.52
54.89,11.48
48.04,8.69
2.43,NA
92.97,3.02
50.58,9.36
34,5.01
32.24,9.68
20.16,NA
34.8,4.76
16.03,2.92
8.98,6.13
105.01,6.12
5.96,15.69
384.96,10.36
22.85,3.89
38.88,9.63
23.82,7.58
63.36,17.48
119.94,NA
28.26,17.17
8.6,7.05
64.79,11.39
4.1,5.94
42.5,8.37
44.12,19.88
21.24,3.96
111.39,NA
10.75,9.64
15.21,11.49
47.85,6.55
14.24,29.9
27.44,16.13
15.81,4.78
34.77,13.07
33.83,NA
22.27,12.09
66.42,11.32
137.13,14.53
36.16,8.33
45.32,10.26
70.82,10.33
232.94,8.06
150.74,11.74
18.76,4.34
62.84,3.31
83.62,NA
23.5,7
34.21,8.77
52.24,6.54
17.57,5.53
5.17,4.82
56.99,14.78
31.58,13.77
42.52,5.72
20.25,4.95
59.66,9.93
34.65,11.96
57.97,10.25
20.2,7.52
577.61,4.81
62.96,5.35
39.42,8.48
57.28,15.93
170.23,7.92
44.22,12.7
18.83,5.61
16.98,3
104.18,12.51
99.99,5.65
43.53,NA
4.74,10.13
66.13,13.65
53.51,20.65
101.38,5.31
25.37,20.58
28.53,NA
29.85,5.87
48.96,12.5
30.47,7.12
85.69,13.52
56.71,12.57
46.03,9.28
107.73,6.74
27.32,8.95
57.17,10.58
30.15,6.83
17.27,3.28
33.37,8.46
14.5,6.82
16.5,4.48
50.4,9.25
26.7,10.05
24.27,12.07
30.12,11.07
258.35,21.05
59.35,5.14
7.26,6.87
99.49,10.24
24.7,3.57
25.59,NA
12.2,6.5
17.41,5.98
15,12.29
36.73,2.86
63.03,NA
18.8,11.67
89.19,25.88
124.46,7.33
31.95,14.73
9.6,4.5
12.71,12.47
10.46,8.52
56.27,6.39
40.47,4.23
36.47,8.29
3.38,2.82
41.88,10.77
61.35,17.16
87.16,11.31
66.36,13.05
137.67,9.81
75.2,13.16
18.46,2.93
33.48,11.02
17.97,17.33
140.69,7.45
21.59,1.74
39.5,10.23
9.02,7.23
31.82,17.85
22.9,5.48
66.32,NA
5.27,11.57
22.09,10.12
36.74,6.14
20.3,NA
23.98,5.55
40.23,3.97
31.08,6.75
14.79,7.34
22.65,4.54
34.37,8.91
112.78,4.56
25.59,14.69
7.48,13.44
7.16,7.04
31.18,6.38
4.82,9.08
19.07,8.73
41.08,3.91
46.07,10.17
18.06,11.41
75.9,4.8
117.32,7.13
9.46,11.77
31.75,6.4
86.33,18.04
41.89,7.23
15.22,15.88
129.82,10.6
858.4,NA
83.31,11.1
28.1,5.75
22.64,5.82
7.89,6.37
16.08,15.54
15.42,12.99
12.48,6.27
86,9.92
26.57,4.44
31.75,6.74
20.21,12.3
14.06,20.89
7.23,4.16
6.93,13.38
5.59,12.2
147.56,NA
3.57,6.76
10.18,9.46
60,9.46
25.99,8.39
9.96,16.36
46.83,15.82
38.87,5.44
71.49,6.88
60.36,5.41
59.6,10.42
108.63,3.42
20.1,6.7
32.73,23.35
48.72,NA
40.82,6.8
154.48,NA
42,14.46
33.23,6.49
4.64,13.49
18.47,18.22
15.31,14.26
10.84,9.85
6.9,12.45
20.02,4.72
7.44,6.47
48.31,6.19
60.56,8.54
82.17,7.4
43.14,14.18
18.55,7.04
199.95,NA
6.45,8.91
25.93,5.47
26.59,4.57
27.55,4.75
17.45,12.76
34.81,15.21
6.45,9.39
76.67,NA
23.14,15.74
138.56,9.22
6.88,3.81
70.75,NA
11.42,13
27.41,8.48
1287.09,7.85
21.02,10.41
34.81,NA
18.81,9.92
25.6,12.34
22.14,9.99
9.26,8.4
40.74,7.43
5.94,NA
15.35,10.77
36.59,9.81
24.28,3.82
13.79,8.66
50.12,13.12
48.06,7.58
35.26,8.38
29.85,4.74
21.41,7.46
4.19,23.66
129.46,7.76
25.71,15
30.52,10.43
326.58,NA
19.5,18.97
55.02,8.22
9.6,19.9
35.96,6.22
27.34,3.54
8.34,5.7
68.42,20.67
6.98,8.22
18.3,3.24
22.41,5.84
30.47,6.26
7.36,10.79
18.54,9.51
6.71,5.41
100.12,3.8
33.4,10.58
12.62,10.13
24.98,8.11
22.14,6.16
47.16,7.66
8.85,10.47
12.86,3.78
16.14,4.01
68.06,12.95
15.31,9.37
15.56,16.06
6.1,15.5
5.62,5.02
26.88,7.79
32.23,19.79
45.83,10.95
6.13,14
103.98,13.44
109.35,6.32
14.86,6.84
80.36,13.44
25.91,NA
27.4,4.85
59.87,16.13
19.47,NA
3.89,NA
42.13,9.22
41.7,6.37
34.21,5.24
66.27,5.04
24.88,6.75
29.92,11.48
7.92,21.55
4.59,9.92
27.95,12.3
28,16.61
7.06,23
9.67,9.19
23.1,8.78
7.07,NA
51.67,6.04
56.98,NA
11.89,3.31
359.24,12.27
426.4,18.51
44.83,4.71
8.68,NA
29.35,10.44
15.4,11.29
42.32,8.24
13.2,9.89
90.59,25.19
90.64,8.56
6.11,NA
25.69,12.7
164.14,NA
58.23,6.45
11.11,9.46
67.41,11.54
6.8,5.84
19,9.22
26.52,7.33
33.41,13.41
57.77,7.2
5.37,11.99
18.95,3.92
40.84,8.9
6.6,29.37
57.57,NA
59.1,6.33
82.42,NA
5.29,24.81
24.63,11.24
192.17,NA
76.81,4.48
53.35,7.67
20.32,4.94
80.64,14.58
12.91,4.43
12.82,10.38
104.35,9.71
14.64,8.2
11.68,8.81
30.43,5.29
70.53,10.34
9.85,10.5
46.09,18.39
15.42,6.7
23.89,17.81
89.18,NA
22.39,NA
3.83,24.34
79.4,NA
49.08,10.3
32.32,11.63
49.36,16.04
89.55,7.23
40.74,9.02
49.99,NA
6.12,3.73
27.55,4.18
7.22,15.65
20.37,8.49
229.58,NA
41.12,3.19
8.61,12.16
6.78,7.11
76.75,17.19
115.33,22.46
8.89,3.66
4.73,5.52
21.61,7.56
2.33,NA
26.25,4.77
38.51,7.54
102.87,20.49
71.45,NA
18.66,7.59
11.16,11.81
38.53,8.13
22.03,12.4
14.84,5.09
68.11,7.91
29.54,7.9
7.93,5.43
24.48,12.06
46.73,3.23
18.41,NA
30.94,9.62
15.08,5.04
30.99,9.95
67.05,7.95
23.82,5.52
15.02,8.64
415.3,NA
7,3.9
26.27,8.45
65.87,10.07
22.76,8.42
7.15,12.6
55.77,9.8
15.09,9.35
18.71,4.95
8.15,3.26
10.25,7.03
4.47,8.23
70.68,3
169.28,4.36
70.02,7.78
11.87,9.13
2.53,21.82
161.94,NA
16.47,11.69
36.23,5.5
31.48,9.86
9.23,11.18
12.31,7.59
141.52,NA
48.98,8.3
12.58,3.79
50.22,9.71
31.38,NA
25.82,8.16
15.53,6.8
3.06,19.48
6.06,NA
79.53,NA
9.41,4.87
17.08,10.04
68.69,3.26
21.99,4.43
57.18,12.01
100.71,NA
47.36,6.79
48.99,3.71
23.12,14.14
12.5,6.35
30.1,6.1
58.12,4.79
6.28,6.37
125.93,12.15
361.06,5.05
60.92,10.97
49.35,9.11
18.28,9
56.28,9.26
43.7,4.83
7.17,9.06
3.55,31.21
41.02,7.09
29.53,9.96
34.74,19.09
48.91,2.7
86.9,12.67
77.58,3.94
12.6,13.93
32.37,3.05
74.13,4.4
283.06,10.5
39.07,11.03
58.36,NA
182.38,4.53
19.38,8.24
69.3,NA
40.24,6
21.78,6.74
27.48,6.37
278.08,NA
64.35,6.34
5.34,5.07
15.28,8.99
13.17,4.61
34.06,6.01
1.71,9.19
22.33,19.24
36.03,9.04
73.92,7.91
36.94,33.85
55.66,11.17
165.64,16.66
12.91,6.6
15.34,5.96
29.27,4.39
178.41,9.04
5.25,8.96
21.21,9.24
27.47,5.25
23.05,12.33
73.5,17.9
101.08,7.6
27.03,4.17
16.38,12.12
10.95,3.89
7.75,9.09
23.3,5.54
29.59,4.59
82.6,11.7
36.01,9.98
29.29,12.09
94.82,10.99
8.52,13.45
8.77,3.81
17.65,8.3
17.64,20.32
82,12.35
168.41,9.9
63.79,7.49
4.7,14.23
103.84,NA
43.22,6.47
28.32,11.19
56.95,4.12
6.11,14.73
34.1,8.1
208.25,NA
24.12,10.2
46.79,4.61
52.64,11.05
41.61,11.67
25.89,6.95
5.05,16.88
25.68,12.78
8.02,3.23
6.86,4.84
17.83,5.16
76.83,14.9
40.22,6.75
67.53,11.37
24.78,11.07
31.46,7.62
93.66,9.09
17.61,6.42
40.47,4.93
13.89,7.13
34.4,7.93
32.04,13.53
12.54,4.92
57.03,NA
34.61,14.67
12.53,10.69
21.89,16.46
41.17,13.6
7.96,4.94
10.29,9.47
9.56,6.4
25.74,6.32
40.31,5.64
7.67,9.61
23.5,6.18
16.05,4.3
10.75,5.15
10.08,5.79
23.74,9.25
52.33,7.63
56.22,NA
43.47,8.15
10.73,5.02
11.19,10.19
50.34,10.29
32.51,4.33
59.04,NA
32.58,7.26
21.22,14.05
23.34,4.22
66.66,17.93
17.75,6.96
50.28,6.94
115.83,11.1
15.29,13.42
9.66,7.99
17.1,8.21
46.61,8.64
37.35,15.74
59.03,5.91
147.51,7.92
13.83,4.42
22.41,3.92
29.15,6.96
60.22,15.22
20.3,7.81
9.63,7.39
45.2,8.72
26.97,6.58
34.1,10.66
14.13,8.7
14.54,5.73
79.33,7.4
61.38,5.72
12.61,6.59
46.56,9.81
15.56,7.35
22.72,9.42
32.07,NA
68.85,11.76
16.75,12.33
13.28,4.58
150.66,7.64
61.8,10.44
40.27,8.23
22.28,7.07
63.06,9.32
27.28,11.81
65.96,NA
51.51,5.32
9.68,9.34
24.12,15.58
9.8,NA
31.35,9.72
21.88,4.84
5.49,18.34
11.15,6.72
112.92,4.8
49.14,6.7
23.26,5.9
18.42,7.44
28.72,10.57
13.98,19.93
67.35,NA
45.08,8.58
43.17,18.61
13.79,4.41
13.52,6.51
83.43,26.12
50.45,12.56
41.27,11.64
8.19,11.36
49.86,10.81
64.5,NA
53.5,7.09
101.33,12.72
55.38,8.51
6.13,5.11
7.88,3.66
106.98,NA
20.23,5.79
26.97,14.58
24.98,7.32
42.78,11.35
22.9,18.62
10.8,8.99
10.18,15.68
30.65,9.77
16,10.67
82.69,11.63
6.57,15.04
21.27,15.44
18.42,7.8
38.02,9.9
51.11,12.54
57.84,10.15
7.08,7.12
28.32,4.13
82.12,17.54
16.83,15.91
9.95,NA
29.59,4.54
20.01,7.86
49.33,NA
58.29,20.36
25.83,17
189.49,4.85
52.87,4.99
37.34,8.46
47.85,3.41
18.32,5.72
38.53,10.77
35.45,9.67
52.05,NA
54.02,10.82
8.71,3.9
22.49,7.42
11.38,6.9
22.02,9.85
11.04,3.47
15.74,14.47
4.94,5.37
14.22,13.6
35.41,5.7
35.99,5.99
2272.12,NA
56.38,NA
14.87,6.04
9.31,6.03
90.96,19.08
5.83,4.35
100.37,11.36
11.29,7.42
118.96,5.51
21.32,12.2
34.98,10.33
33.82,9.27
53.86,NA
24.73,8.76
37.8,13.1
22.14,10
13.57,NA
23.51,7.7
51.62,15.35
14.42,NA
7.66,2.49
26.32,10.36
49.24,8.76
30.47,3.79
14.77,8.45
18.52,10.59
9.7,7.99
8.84,7.14
40.35,5.35
12.91,7.28
55.44,5.55
8.31,10.38
9.03,6.13
37.24,14.48
5.83,6.73
5.99,6.18
2.43,NA
32.81,7.43
25.43,3.6
49.02,11.2
71.97,8.98
362.47,NA
10.49,8.12
17.77,10.81
57.54,7.26
39.45,10.08
10.84,9.09
51.96,11.81
13.88,11.17
39.86,9.26
29.39,11.48
6.79,9.76
36.31,12.12
43.48,10.1
16.18,6.87
10.6,13.94
38.63,4.31
67.92,8.59
12.58,NA
67.44,6.69
22.27,8.44
13.22,18.48
61.65,8.7
5.01,7.51
8.8,9.01
33.76,10.02
25.37,5.67
50,6.83
17.58,13.73
25.2,NA
50.37,9.05
44.3,6.2
24.42,7.98
34.52,NA
9.74,10.51
34.86,9.52
26.43,7.12
32.22,14.91
20.03,8.12
32.69,7.6
42.77,11.58
31.31,4.84
43.86,14.66
63.98,6.12
42.89,12
21.95,19.07
57.91,5.59
87.37,9.64
52.44,10.08
19.26,4.95
263.84,3.03
24.19,7.96
12.11,5.5
56.44,17.17
8.8,13.18
19.82,4.13
29.41,10.36
67.12,10.23
54.38,5
18.23,3.47
23.07,8.57
23.1,10.75
37.83,6.02
6.48,18.92
100.32,NA
36.43,6.33
12.3,10.11
10.21,6.08
24.39,5.23
43.29,16.32
24.33,12.22
26.83,6
12.84,7.57
39.97,8.54
10.55,14.62
33.65,17.05
56.13,8.29
27.42,5.48
78.92,4.5
3.59,14.21
129.02,14.23
134.11,3.24
65.89,4.47
8.79,7.68
123.73,8.68
35.45,5.92
27.15,7.72
7.5,NA
34.6,7.91
9.89,6.14
22.94,NA
25.16,11.73
3.53,7.27
70.38,5.75
23.59,9.45
12.04,NA
2.45,20.29
100.87,10.05
24.12,8.14
13.03,8.68
52.3,5.68
24.34,9.75
11.8,9.82
37.97,5.66
37.47,8.93
37.45,7.47
40.03,6.09
12.02,9.98
6.45,21.4
26.65,6.36
23.4,9.19
43.52,12.79
31.53,8.54
16.06,15.73
27.14,6.43
43.52,4.02
58.92,10.1
5.73,9.2
265.75,18.41
23.82,13.32
13.74,7.26
39.59,7.72
56.09,4.67
12.72,7.75
70.1,14.78
23.95,5.74
13.68,3.29
3.69,8.22
30.58,6.94
18.26,9.35
89.91,13.65
35.97,15.81
16.34,12.21
102.26,10.89
7.56,13.83
32.44,6.21
27,11.72
18.08,5.34
64.26,NA
4.85,21.34
10.03,8.37
6.13,4.29
67.69,3.96
31.8,5.26
27.43,NA
12.88,7.7
14.64,10.38
11.89,6.38
10.35,4.81
54.93,7.07
12.36,8.26
58.27,6.74
5.75,17.7
9.37,NA
12.57,5.82
50.21,10.83
58.6,3.72
4.68,7.29
116.9,10.05
24.84,NA
10.89,5.53
15.93,10.94
10.33,9.98
40.94,17.68
29.93,NA
13.49,4.84
