Gene,Half-life (h)
YDR229W,0.6
YDR230W,0.05
YDR233C,5
YDR234W,0.666666667
YDR235W,1.5
YDR236C,5
YDR240C,4.466666667
YDR243C,0.516666667
YDR244W,0.383333333
YDR245W,1.4
YDR247W,0.466666667
YDR248C,0.733333333
YDR251W,1.866666667
YDR252W,4.366666667
YDR254W,0.583333333
YDR256C,0.516666667
YDR257C,5
YDR258C,0.95
YDR259C,0.35
YDR261C,0.183333333
YDR262W,1.383333333
YDR264C,1.5
YDR265W,5
YDR266C,0.366666667
YDR267C,1.616666667
YDR268W,5
YDR272W,4.966666667
YDR275W,1.216666667
YDR276C,1.283333333
YDR277C,0.466666667
YDR279W,0.516666667
YDR283C,0.483333333
YDR288W,0.366666667
YDR289C,1.433333333
YDR291W,0.266666667
YDR292C,0.816666667
YDR293C,0.3
YDR294C,0.533333333
YDR295C,0.683333333
YDR296W,23.61666667
YDR297W,5
YDR298C,5
YDR299W,0.333333333
YDR300C,5
YDR301W,5
YDR302W,5.083333333
YDR303C,0.416666667
YDR305C,2.1
YDR307W,0.483333333
YDR308C,5
YDR309C,0.216666667
YDR310C,0.2
YDR311W,0.583333333
YDR312W,0.833333333
YDR314C,0.183333333
YDR316W,0.4
YDR318W,1.733333333
YDR319C,0.733333333
YDR320C,0.366666667
YDR322W,20.1
YDR323C,0.05
YDR324C,0.766666667
YDR325W,0.383333333
YDR329C,0.033333333
YDR330W,0.683333333
YDR331W,0.35
YDR332W,0.766666667
YDR333C,0.316666667
YDR335W,5
YDR337W,0.833333333
YDR338C,0.3
YDR342C,1.35
YDR345C,5
YDR346C,0.916666667
YDR347W,0.733333333
YDR348C,0.516666667
YDR354W,0.4
YDR356W,0.6
YDR357C,0.366666667
YDR361C,2.816666667
YDR362C,0.183333333
YDR363W-A,0.616666667
YDR364C,0.633333333
YDR365C,0.033333333
YDR367W,2.883333333
YDR368W,1.233333333
YDR370C,0.9
YDR371W,1.033333333
YDR372C,2.116666667
YDR373W,0.566666667
YDR376W,1.3
YDR377W,0.833333333
YDR379C-A,0.183333333
YDR379W,5
YDR380W,0.5
YDR382W,5
YDR384C,0.6
YDR385W,5
YDR386W,0.333333333
YDR388W,0.683333333
YDR389W,0.266666667
YDR390C,0.783333333
YDR391C,0.666666667
YDR392W,5.483333333
YDR395W,3.266666667
YDR397C,1.65
YDR399W,5
YDR400W,1.766666667
YDR404C,0.583333333
YDR405W,92.08333333
YDR407C,5
YDR408C,5.766666667
YDR409W,0.116666667
YDR410C,4.15
YDR411C,1.366666667
YDR412W,1.366666667
YDR416W,0.433333333
YDR418W,80.81666667
YDR419W,1.016666667
YDR421W,0.066666667
YDR422C,0.383333333
YDR423C,0.433333333
YDR424C,0.166666667
YDR425W,0.9
YDR427W,1.933333333
YDR434W,1.383333333
YDR436W,0.716666667
YDR437W,5
YDR439W,0.633333333
YDR440W,1.05
YDR441C,0.466666667
YDR444W,0.066666667
YDR447C,2.333333333
YDR448W,0.983333333
YDR449C,0.566666667
YDR450W,1.05
YDR451C,0.05
YDR452W,0.15
YDR453C,2.483333333
YDR454C,5
YDR456W,2.45
YDR457W,0.766666667
YDR458C,0.466666667
YDR460W,1.366666667
YDR461W,1.55
YDR462W,0.133333333
YDR463W,0.383333333
YDR465C,1.15
YDR469W,2.983333333
YDR476C,0.833333333
YDR477W,0.566666667
YDR478W,1.25
YDR479C,0.866666667
YDR480W,0.666666667
YDR481C,0.05
YDR482C,0.033333333
YDR483W,0.033333333
YDR484W,0.483333333
YDR485C,30.91666667
YDR486C,3.183333333
YDR487C,0.333333333
YDR488C,0.916666667
YDR490C,0.216666667
YDR492W,0.816666667
YDR493W,3.5
YDR495C,0.9
YDR497C,0.983333333
YDR498C,0.65
YDR499W,0.233333333
YDR500C,0.883333333
YDR505C,0.35
YDR506C,0.166666667
YDR510W,0.116666667
YDR511W,0.45
YDR513W,5
YDR514C,0.583333333
YDR515W,0.4
YDR516C,0.516666667
YDR517W,1.016666667
YDR519W,5
YDR520C,0.266666667
YDR525W-A,3.733333333
YDR527W,1.016666667
