Gene,Half-life (h)
YBR191W,0.635758095
YBR192W,0.065182736
YBR193C,0.107701266
YBR194W,0.081862537
YBR195C,0.046963025
YBR196C,0.606433223
YBR196C-A,0.070635848
YBR196C-B,0.060670574
YBR197C,0.077731392
YBR198C,0.118158676
YBR199W,0.22007214
YBR200W,0.128898408
YBR200W-A,0.284801534
YBR201W,0.107253556
YBR202W,0.070145109
YBR203W,0.060009913
YBR204C,0.2117491
YBR205W,0.447325095
YBR207W,0.093904248
YBR208C,0.209878809
YBR210W,0.249655862
YBR211C,0.037406083
YBR212W,0.104069821
YBR213W,0.097928587
YBR214W,0.180764434
YBR215W,0.088925377
YBR216C,0.064659046
YBR217W,0.099432036
YBR218C,0.34230472
YBR219C,0.175811785
YBR220C,0.10891769
YBR221C,0.825089249
YBR221W-A,0.094597754
YBR222C,0.245191352
YBR223C,0.129516783
YBR225W,0.073006906
YBR227C,0.150273431
YBR228W,0.063371033
YBR229C,0.397657176
YBR230C,0.314771421
YBR230W-A,0.461843437
YBR231C,0.090907483
YBR233W,0.075315172
YBR233W-A,0.074271308
YBR234C,0.550406542
YBR235W,0.144071461
YBR236C,0.197989669
YBR237W,0.080085901
YBR238C,0.080133787
YBR239C,0.068779001
YBR240C,0.115892998
YBR241C,0.325852397
YBR242W,0.120325332
YBR243C,0.270689051
YBR244W,0.178611393
YBR245C,0.193272647
YBR246W,0.161553974
YBR247C,0.136493797
YBR248C,0.160074078
YBR249C,0.957641439
YBR250W,0.057177682
YBR251W,0.052328609
YBR252W,0.353712612
YBR253W,0.080972825
YBR254C,0.170295219
YBR255C-A,0.128827065
YBR255W,0.071966686
YBR256C,0.230567797
YBR257W,0.073656192
YBR258C,0.054631253
YBR259W,0.069611644
YBR260C,0.108101112
YBR261C,0.384948481
YBR262C,0.073635314
YBR263W,0.880173764
YBR264C,0.190017001
YBR265W,0.189940901
YBR267W,0.07260602
YBR268W,0.168944772
YBR269C,0.195031281
YBR270C,0.031902293
YBR271W,0.124748542
YBR272C,0.101600799
YBR273C,0.137047879
YBR274W,0.099768836
YBR275C,0.097280675
YBR276C,0.259128428
YBR278W,0.144859767
YBR279W,0.086621803
YBR280C,0.117106457
YBR281C,0.097779367
YBR282W,0.07498631
YBR283C,0.487900374
YBR284W,0.143072999
YBR285W,0.345008263
YBR286W,0.645876293
YBR287W,0.161866001
YBR288C,0.156006397
YBR289W,0.074530609
YBR290W,0.07642162
YBR291C,0.10201085
YBR293W,0.081035742
YBR294W,0.408460179
YBR295W,0.070209567
YBR296C,0.438342756
YBR296C-A,0.145725074
YBR297W,0.097589842
YBR298C,0.052608038
YBR298C-A,0.216984553
YBR299W,0.215963964
YBR301W,0.158228901
YBR302C,0.272665582
YCL001W,0.437934795
YCL001W-A,0.168016015
YCL001W-B,0.168974885
YCL002C,0.188960668
YCL004W,0.072700835
YCL005W,0.0941529
YCL005W-A,0.37972832
YCL008C,0.09191931
YCL009C,1.266960023
YCL010C,0.032178621
YCL011C,0.228755861
YCL012C,0.201235713
YCL014W,0.139248027
